epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,tau,seed,final_lambda
-0.09555555555555556,0.9983333333333333,0.39669444444444446,0.9961832061068703,0.003816793893129771,0.5483870967741935,0.9988888888888889,0.531262351235171,0.1,22,0.7308158052884614
0.03333333333333333,0.9116666666666666,0.42858333333333337,0.8,0.2,0.51357733175915,0.9411111111111111,0.44880440585964476,0.1,23,0.11234224759615487
0.3417777777777778,0.6552222222222223,0.48282777777777786,0.24632352941176472,0.7536764705882353,0.42712842712842713,0.77,0.36822884181910587,0.1,24,0.2607346754807688
0.051111111111111114,0.9333333333333333,0.4481111111111111,0.8484848484848485,0.15151515151515152,0.4965116279069767,0.9555555555555556,0.43408960169106636,0.1,25,0.12924729567307522
-0.04,1.0,0.42800000000000005,1.0,0.0,0.52,1.0,0.502822198071211,0.1,26,0.44961087740384825
-0.04,0.9983333333333333,0.42725,0.9957264957264957,0.004273504273504274,0.5205784204671857,0.9988888888888889,0.5058149500278555,0.1,27,0.7140024038461529
-0.028888888888888888,0.9966666666666667,0.4326111111111111,0.991869918699187,0.008130081300813009,0.5155902004454342,0.9977777777777778,0.4903938681637747,0.1,28,0.2726412259615375
0.06888888888888889,0.925,0.4541388888888889,0.8288973384030418,0.17110266159695817,0.49005847953216375,0.95,0.4246039652934055,0.1,29,1.619788161057692
-0.08,0.9933333333333333,0.403,0.9844357976653697,0.01556420233463035,0.5424107142857143,0.9955555555555555,0.51011592110424,0.2,0,0.6988206129807685
-0.09111111111111111,0.9683333333333334,0.38563888888888886,0.934931506849315,0.06506849315068493,0.5573212258796821,0.9788888888888889,0.5095471366440057,0.2,1,0.523084435096157
-0.013333333333333334,0.9816666666666667,0.4344166666666667,0.9597069597069597,0.040293040293040296,0.5129358830146231,0.9877777777777778,0.471269869460197,0.2,2,0.5420898437500027
0.06222222222222222,0.9033333333333333,0.4407222222222222,0.779467680608365,0.22053231939163498,0.501187648456057,0.9355555555555556,0.4417952107347446,0.2,3,0.2743479567307678
-0.02666666666666667,0.9433333333333334,0.4098333333333334,0.8687258687258688,0.13127413127413126,0.5334872979214781,0.9622222222222222,0.4823907664634238,0.2,4,1.0603425480769224
0.3151111111111111,0.6968888888888889,0.48691111111111113,0.3308550185873606,0.6691449814126395,0.42896935933147634,0.7977777777777778,0.38005753442597856,0.2,5,0.21660456730768984
-0.07555555555555556,0.9833333333333333,0.4009444444444445,0.9604743083003953,0.039525691699604744,0.5438202247191011,0.9888888888888889,0.5089773828438163,0.2,6,0.4895582932692313
-0.1,0.9816666666666667,0.38675000000000004,0.9586466165413534,0.041353383458646614,0.5568053993250843,0.9877777777777778,0.5162664677580526,0.2,7,0.4278530649038469
0.017777777777777778,0.9333333333333333,0.4297777777777778,0.8490566037735849,0.1509433962264151,0.513953488372093,0.9555555555555556,0.4590982285131624,0.2,8,1.0799759615384616
0.1288888888888889,0.855,0.4556388888888889,0.6801470588235294,0.31985294117647056,0.4821648216482165,0.9033333333333333,0.4228278502769347,0.2,9,0.2795898437500043
-0.07333333333333333,0.985,0.40291666666666676,0.967391304347826,0.03260869565217391,0.5420875420875421,0.99,0.5056199423495545,0.2,10,0.6697280649038451
0.5355555555555556,0.5694444444444444,0.5508055555555555,0.04597701149425287,0.9540229885057471,0.3244929797191888,0.7122222222222222,0.2793119974133186,0.2,11,0.8963221153846139
-0.09333333333333334,0.995,0.3964166666666667,0.9885931558935361,0.011406844106463879,0.5484949832775919,0.9966666666666667,0.5185578460211184,0.2,12,0.8763010817307709
-0.06222222222222222,0.97,0.4022777777777778,0.9361702127659575,0.06382978723404255,0.5419501133786848,0.98,0.49598998354368307,0.2,13,0.4934359975961548
-0.015555555555555555,0.9816666666666667,0.43319444444444444,0.9578544061302682,0.0421455938697318,0.5140607424071991,0.9877777777777778,0.4749253182382559,0.2,14,0.6178140024038474
-0.09133333333333334,0.9651111111111111,0.3840666666666666,0.9295774647887324,0.07042253521126761,0.558589306029579,0.9766666666666667,0.512677970688039,0.2,15,0.933490084134617
-0.051111111111111114,0.9933333333333333,0.41888888888888887,0.9851301115241635,0.01486988847583643,0.5279017857142857,0.9955555555555555,0.49456493582949446,0.2,16,0.4857767427884624
-0.022222222222222223,0.9416666666666667,0.41152777777777777,0.8708487084870848,0.12915129151291513,0.5317919075144508,0.9611111111111111,0.48221056517794464,0.2,17,0.45791165865384553
-0.0044444444444444444,0.97,0.4340555555555556,0.9340659340659341,0.06593406593406594,0.5124716553287982,0.98,0.46507651407989986,0.2,18,1.0704642427884594
-0.09555555555555556,0.9833333333333333,0.3899444444444445,0.9635036496350365,0.0364963503649635,0.553932584269663,0.9888888888888889,0.5172648486426696,0.2,19,0.624945913461538
-0.06466666666666666,0.9817777777777777,0.40623333333333334,0.9647887323943662,0.035211267605633804,0.5388076490438695,0.9877777777777778,0.4977321987778862,0.2,20,0.5452343749999996
0.19755555555555557,0.7567777777777778,0.44920555555555564,0.46096654275092935,0.5390334572490706,0.47877984084880637,0.8377777777777777,0.41707377519809335,0.2,21,1.1413792067307704
-0.07777777777777778,0.985,0.40047222222222223,0.9656488549618321,0.03435114503816794,0.5443322109988776,0.99,0.5121978939217611,0.2,22,0.6208263221153868
-0.06444444444444444,0.985,0.40780555555555553,0.9660377358490566,0.033962264150943396,0.5375982042648709,0.99,0.49959676413051396,0.2,23,0.5226292067307685
0.5202222222222223,0.5143333333333333,0.5175722222222223,0.0625,0.9375,0.34983498349834985,0.6733333333333333,0.2816236853857109,0.2,24,0.955018028846153
